Страна,Год,ВВП_млрд,Экспорт_млрд,Импорт_млрд,Население_млн
India,2003,607.700687237318,90.8385752437621,95.0718693785573,1116.803006
India,2004,709.152728830775,126.648472020752,139.310848797436,1135.991513
India,2005,820.383763511445,160.838260680778,183.736617243328,1154.676322
India,2006,940.2598887877209,199.973922363783,229.955027127372,1172.87889
India,2007,1216.73643883496,253.077526013168,302.8039525525,1190.676021
India,2008,1198.8951390059199,288.902044820698,350.926955799106,1207.930964
India,2009,1341.8880169949,273.752124889211,347.17796796831595,1225.524753
India,2010,1675.61551948496,375.353514026267,449.974370198802,1243.481564
India,2011,1823.05182989455,447.384417625093,566.667744819908,1261.224954
India,2012,1827.63759041041,448.40047736125405,571.306554042386,1278.674502
India,2013,1856.72150762158,472.180271340149,527.555307105956,1295.829511
India,2014,2039.12647915452,468.345815420933,529.239428328665,1312.277191
India,2015,2103.58836004494,416.787940847812,465.097595426184,1328.024498
India,2016,2294.79688566316,439.64257807635795,480.16905576828196,1343.944296
India,2017,2651.47426275545,498.258808231521,582.018012521568,1359.6574
India,2018,2702.92964164874,538.635186135438,640.300806738542,1374.659064
India,2019,2835.60625655819,529.245063167215,602.315056052526,1389.030312
India,2020,2674.85157858727,499.72852907262904,510.244747372174,1402.617695
India,2021,3167.27062326047,677.769255428552,760.9028918060129,1414.203896
India,2022,3346.1072877309302,778.021514754531,897.550749081828,1425.423212
India,2023,3638.48909603386,780.408530088596,856.651130547122,1438.069596
Indonesia,2000,165.02101207780998,67.621169165827,50.2646864697912,216.07779
Indonesia,2001,160.44694778490899,62.6258758339076,49.3551954021429,219.097902
Indonesia,2002,195.660611165183,63.956798804501,51.6384371606839,222.088495
Indonesia,2003,234.772463823808,71.5531410449888,54.3236223414892,225.048008
Indonesia,2004,256.836875295452,82.74435178101669,70.74469051364281,227.926649
Indonesia,2005,285.86861919608504,97.3876275659961,85.53380115440021,230.87165
Indonesia,2006,364.570515618357,113.14342528779801,93.41175407578031,233.951652
Indonesia,2007,432.21673777486103,127.226102177005,109.755093425227,237.062337
Indonesia,2008,510.228634992258,152.090401421802,146.706628549322,240.157903
Indonesia,2009,539.580085612401,130.357798591185,115.216544854096,243.220028
Indonesia,2010,755.094157621936,183.48056296132103,169.15802761042002,246.305322
Indonesia,2011,892.9691045631711,235.095129132988,212.99688526684298,249.470032
Indonesia,2012,917.869913332649,225.744403267742,229.362102379516,252.698525
Indonesia,2013,912.524136718018,218.308408827835,225.519356299674,255.852467
Indonesia,2014,890.814755533537,210.820082831806,217.48521577046301,258.877399
Indonesia,2015,860.854232686214,182.15829880202898,178.863652305893,261.799249
Indonesia,2016,931.877364037698,177.88601274486498,170.835000830242,264.627418
Indonesia,2017,1015.61874415973,204.924485909157,194.777319195676,267.346658
Indonesia,2018,1042.27153298863,218.905647886556,230.04561238506798,269.951846
Indonesia,2019,1119.0998713502,208.057763659252,213.034646334827,272.489381
Indonesia,2020,1059.05484269848,183.546577017375,165.64684330193302,274.814866
Indonesia,2021,1186.50969108673,254.109508154492,222.923845055988,276.758053
Indonesia,2022,1319.10118338015,323.21819801635496,276.506804558242,278.830529
Indonesia,2023,1371.1693015636201,298.282074769176,268.508401209029,281.190067
Iran,2000,,,21.6884070842785,66.418659
Iran,2001,,,26.9392085409864,67.452005
Iran,2002,,,30.560192008042197,68.011317
Iran,2003,,,39.575353987925595,68.76934
Iran,2004,,,48.9043,70.256316
Iran,2005,,,54.2396277956334,71.828455
Iran,2006,,,61.880856748232695,73.392747
Iran,2007,,,73.5975,74.602648
Iran,2008,,,87.9236,75.514204
Iran,2009,,,86.9031,76.457825
Iran,2010,,,94.3502,77.420842
Iran,2011,,,102.45297601088299,78.383598
Iran,2012,,,139.198634094617,79.37058
Iran,2013,,,109.606636051381,80.414686
Iran,2014,,,104.10999219133099,81.502045
Iran,2015,,,84.7098569584348,82.619362
Iran,2016,,,93.6533991595081,83.812228
Iran,2017,,,108.79723883612,85.026754
Iran,2018,,,111.113616111569,86.117998
Iran,2019,,,91.4411313665632,87.051648
Iran,2020,,,71.62165812645681,87.723443
Iran,2021,,,84.1308365155474,88.455488
Iran,2022,,,98.69895986491099,89.524246
Iran,2023,,,116.536624174358,90.608707
Russia,2000,259.71014219694297,114.429434767153,62.417348027017404,146.596869
Russia,2001,306.6020706205,113.116215289681,74.2509427494001,145.976482
Russia,2002,345.470494417863,121.649122807018,84.40829346092501,145.306497
Russia,2003,430.347420184885,151.69738718771399,102.75959308647799,144.648618
Russia,2004,591.016690732385,203.415480735856,130.992710864283,144.067316
Russia,2005,764.01597348111,268.957047128595,164.341230419182,143.518814
Russia,2006,989.932071352543,333.90879423961496,207.914704586723,143.049637
Russia,2007,1299.7034784816499,392.043343368837,279.98293254190804,142.805114
Russia,2008,1660.84805830311,520.0042248633209,366.59742585113395,142.742366
Russia,2009,1222.6459000557,341.584048925976,250.605238920116,142.785348
Russia,2010,1524.91671522395,445.512969856508,322.366550354214,142.849468
Russia,2011,2045.92275339804,573.99102406442,408.776142105219,143.018195
Russia,2012,2208.29355387842,594.192620575645,447.04849387793297,143.378447
Russia,2013,2292.4700783462204,592.496613389693,468.62243673615995,143.805638
Russia,2014,2059.24158989501,558.282985966489,426.062113844975,144.237223
Russia,2015,1363.48218219771,391.365600741085,281.640332372515,144.640716
Russia,2016,1276.78635088114,330.10650974016,263.830495058506,145.01546
Russia,2017,1574.199360089,410.722481424915,327.207464722169,145.29326
Russia,2018,1657.32877346131,510.345505266608,344.519598182381,145.398106
Russia,2019,1693.1150027083202,481.410680627341,352.088733268664,145.453291
Russia,2020,1493.07589436214,381.06559958442796,305.25522617683697,145.245148
Russia,2021,1829.1867195751001,548.800273711107,376.515695621301,144.746762
